name,country,qs_rank,ti_rank,sh_rank,rank,iso2,region,continent,invRank,intRank,rankGroup,keylocation
Michigan State University,USA,149,83,125.5,119.16666666666667,US,North America,Americas,0.008391608391608392,119,100-200,loc_118
University of Leeds,UK,101,139,125.5,121.83333333333333,GB,Northern Europe,Europe,0.008207934336525308,122,100-200,loc_119
University of Adelaide,Australia,109,134,125.5,122.83333333333333,AU,Australia and New Zealand,Oceania,0.00814111261872456,123,100-200,loc_120
Vanderbilt University,USA,212,105,52,123,US,North America,Americas,0.008130081300813009,123,100-200,loc_121
Emory University,USA,147,98,125.5,123.5,US,North America,Americas,0.008097165991902834,124,100-200,loc_122
Shanghai Jiao Tong University,China,62,188,125.5,125.16666666666667,CN,East Asia,Asia,0.007989347536617843,125,100-200,loc_123
Arizona State University,USA,,,125.5,125.5,US,North America,Americas,0.00796812749003984,126,100-200,loc_124
Baylor College of Medicine,USA,,,125.5,125.5,US,North America,Americas,0.00796812749003984,126,100-200,loc_125
Icahn School of Medicine at Mount Sinai,USA,,,125.5,125.5,US,North America,Americas,0.00796812749003984,126,100-200,loc_126
The University of Texas M. D. Anderson Cancer Center,USA,,,125.5,125.5,US,North America,Americas,0.00796812749003984,126,100-200,loc_127
Viadrina European University,Germany,,,125.5,125.5,DE,Western Europe,Europe,0.00796812749003984,126,100-200,loc_128
University of Southampton,UK,,,125.5,125.5,GB,Northern Europe,Europe,0.00796812749003984,126,100-200,loc_129
Weizmann Institute of Science,Israel,,,125.5,125.5,IL,Middle East,Asia,0.00796812749003984,126,100-200,loc_130
Charité - Universitätsmedizin Berlin,Germany,,126,,126,DE,Western Europe,Europe,0.007936507936507936,126,100-200,loc_131
University of Freiburg,Germany,171,82,125.5,126.16666666666667,DE,Western Europe,Europe,0.007926023778071334,126,100-200,loc_132
Trinity College Dublin,Ireland,88,117,175.5,126.83333333333333,IE,Northern Europe,Europe,0.007884362680683312,127,100-200,loc_133
Moscow State University,Russian Federation,95,194,93,127.33333333333333,RU,Eastern Europe,Europe,0.007853403141361256,127,100-200,loc_134
KAIST,Republic of Korea,41,95,250.5,128.83333333333334,KR,East Asia,Asia,0.0077619663648124185,129,100-200,loc_135
University of Göttingen,Germany,181,113,95,129.66666666666666,DE,Western Europe,Europe,0.007712082262210798,130,100-200,loc_136
Zhejiang University,China,87,177,125.5,129.83333333333334,CN,East Asia,Asia,0.007702182284980744,130,100-200,loc_137
University of Bern,Switzerland,167,105,125.5,132.5,CH,Western Europe,Europe,0.007547169811320755,132,100-200,loc_138
Cardiff University,UK,137,162,99,132.66666666666666,GB,Northern Europe,Europe,0.007537688442211056,133,100-200,loc_139
Stockholm University,Sweden,195,134,74,134.33333333333334,SE,Northern Europe,Europe,0.007444168734491314,134,100-200,loc_140
Hebrew University of Jerusalem,Israel,145,,125.5,135.25,IL,Middle East,Asia,0.0073937153419593345,135,100-200,loc_141
Université catholique de Louvain,Belgium,153,129,125.5,135.83333333333334,BE,Western Europe,Europe,0.007361963190184048,136,100-200,loc_142
University of Florida,USA,178,143,88,136.33333333333334,US,North America,Americas,0.007334963325183373,136,100-200,loc_143
Université de Montréal,Canada,130,108,175.5,137.83333333333334,CA,North America,Americas,0.007255139056831922,138,100-200,loc_144
City University of Hong Kong,Hong Kong,49,119,250.5,139.5,HK,East Asia,Asia,0.007168458781362007,140,100-200,loc_145
"Queen Mary, University of London",UK,127,121,175.5,141.16666666666666,GB,Northern Europe,Europe,0.0070838252656434475,141,100-200,loc_146
University of Durham,UK,78,97,250.5,141.83333333333334,GB,Northern Europe,Europe,0.007050528789659224,142,100-200,loc_147
University of Tübingen,Germany,164,94,175.5,144.5,DE,Western Europe,Europe,0.006920415224913495,144,100-200,loc_148
Technical University of Denmark,Denmark,116,153,175.5,148.16666666666666,DK,Northern Europe,Europe,0.006749156355455569,148,100-200,loc_149
University of São Paulo,Brazil,121,,175.5,148.25,BR,South America,Americas,0.006745362563237774,148,100-200,loc_150
Hokkaido University,Japan,122,,175.5,148.75,JP,East Asia,Asia,0.0067226890756302525,149,100-200,loc_151
National Taiwan University,"Taiwan, Province of China",76,198,175.5,149.83333333333334,TW,East Asia,Asia,0.006674082313681868,150,100-200,loc_152
Radboud University Nijmegen,Netherlands,204,122,125.5,150.5,NL,Western Europe,Europe,0.006644518272425249,150,100-200,loc_153
University of Virginia,USA,173,113,175.5,153.83333333333334,US,North America,Americas,0.006500541711809317,154,100-200,loc_154
University of Exeter,UK,158,130,175.5,154.5,GB,Northern Europe,Europe,0.006472491909385114,154,100-200,loc_155
University of Paris-Sud,France,242,181,41,154.66666666666666,FR,Western Europe,Europe,0.006465517241379311,155,100-200,loc_156
University of Rochester,USA,186,153,125.5,154.83333333333334,US,North America,Americas,0.006458557588805166,155,100-200,loc_157
University of Bonn,Germany,239,100,125.5,154.83333333333334,DE,Western Europe,Europe,0.006458557588805166,155,100-200,loc_158
Sungkyunkwan University,Republic of Korea,108,111,250.5,156.5,KR,East Asia,Asia,0.006389776357827476,156,100-200,loc_159
RWTH Aachen University,Germany,141,79,250.5,156.83333333333334,DE,Western Europe,Europe,0.006376195536663124,157,100-200,loc_160
University of Lausanne,Switzerland,146,152,175.5,157.83333333333334,CH,Western Europe,Europe,0.006335797254487856,158,100-200,loc_161
University of Liverpool,UK,173,177,125.5,158.5,GB,Northern Europe,Europe,0.006309148264984227,158,100-200,loc_162
Technion – Israel Institute of Technology,Israel,224,,93,158.5,IL,Middle East,Asia,0.006309148264984227,158,100-200,loc_163
Texas A&M University,USA,195,159,125.5,159.83333333333334,US,North America,Americas,0.006256517205422314,160,100-200,loc_164
University of Bath,UK,160,,,160,GB,Northern Europe,Europe,0.00625,160,100-200,loc_165
National Tsing Hua University,"Taiwan, Province of China",161,,,161,TW,East Asia,Asia,0.006211180124223602,161,100-200,loc_166
University of Buenos Aires,Argentina,75,,250.5,162.75,AR,South America,Americas,0.006144393241167435,163,100-200,loc_167
University of Arizona,USA,230,161,99,163.33333333333334,US,North America,Americas,0.006122448979591836,163,100-200,loc_168
Karlsruhe Institute of Technology,Germany,107,133,250.5,163.5,DE,Western Europe,Europe,0.0061162079510703364,164,100-200,loc_169
University of Vienna,Austria,154,165,175.5,164.83333333333334,AT,Western Europe,Europe,0.006066734074823053,165,100-200,loc_170
Case Western Reserve University,USA,213,158,125.5,165.5,US,North America,Americas,0.006042296072507553,166,100-200,loc_171
Arizona State University,USA,209,126,,167.5,US,North America,Americas,0.005970149253731343,168,100-200,loc_172
Dartmouth College,USA,169,89,250.5,169.5,US,North America,Americas,0.0058997050147492625,170,100-200,loc_173
Vrije Universiteit,Netherlands,218,165,125.5,169.5,NL,Western Europe,Europe,0.0058997050147492625,170,100-200,loc_174
Korea University,Republic of Korea,90,,250.5,170.25,KR,East Asia,Asia,0.005873715124816446,170,100-200,loc_175
Indian Institute of Technology Delhi,India,172,,,172,IN,South Asia,Asia,0.005813953488372093,172,100-200,loc_176
King Saud University,Saudi Arabia,221,,125.5,173.25,SA,Middle East,Asia,0.005772005772005772,173,100-200,loc_177
Scuola Superiore Sant'Anna Pisa di Studi Universitari e di Perfezionamento,Italy,192,155,,173.5,IT,Southern Europe,Europe,0.005763688760806916,174,100-200,loc_178
Royal Institute of Technology,Sweden,98,173,250.5,173.83333333333334,SE,Northern Europe,Europe,0.005752636625119846,174,100-200,loc_179
University of York,UK,135,137,250.5,174.16666666666666,GB,Northern Europe,Europe,0.005741626794258373,174,100-200,loc_180
University of Auckland,New Zealand,82,192,250.5,174.83333333333334,NZ,Australia and New Zealand,Oceania,0.005719733079122974,175,100-200,loc_181
TU Dresden,Germany,195,155,175.5,175.16666666666666,DE,Western Europe,Europe,0.005708848715509039,175,100-200,loc_182
University of Bordeaux,France,,,175.5,175.5,FR,Western Europe,Europe,0.005698005698005698,176,100-200,loc_183
University of Nebraska–Lincoln,USA,,,175.5,175.5,US,North America,Americas,0.005698005698005698,176,100-200,loc_184
China Medical University (Taichung),China,,,175.5,175.5,CN,East Asia,Asia,0.005698005698005698,176,100-200,loc_185
Sichuan University,China,,,175.5,175.5,CN,East Asia,Asia,0.005698005698005698,176,100-200,loc_186
Leipzig University,Germany,,,175.5,175.5,DE,Western Europe,Europe,0.005698005698005698,176,100-200,loc_187
University of Massachusetts Medical School - Worcester,USA,,,175.5,175.5,US,North America,Americas,0.005698005698005698,176,100-200,loc_188
Hong Kong Polytechnic University,Hong Kong,95,182,250.5,175.83333333333334,HK,East Asia,Asia,0.005687203791469194,176,100-200,loc_189
CentraleSupélec,France,177,,,177,FR,Western Europe,Europe,0.005649717514124294,177,100-200,loc_190
Nanjing University,China,114,169,250.5,177.83333333333334,CN,East Asia,Asia,0.005623242736644799,178,100-200,loc_191
Rutgers University - New Brunswick,USA,283,172,79,178,US,North America,Americas,0.0056179775280898875,178,100-200,loc_192
Yonsei University,Republic of Korea,106,,250.5,178.25,KR,East Asia,Asia,0.005610098176718092,178,100-200,loc_193
Indian Institute of Technology Bombay,India,179,,,179,IN,South Asia,Asia,0.00558659217877095,179,100-200,loc_194
University of Luxembourg,Luxembourg,,179,,179,LU,Western Europe,Europe,0.00558659217877095,179,100-200,loc_195
Indiana University Bloomington,USA,304,117,125.5,182.16666666666666,US,North America,Americas,0.0054894784995425435,182,100-200,loc_196
Maastricht University,Netherlands,200,103,250.5,184.5,NL,Western Europe,Europe,0.005420054200542005,184,100-200,loc_197
Université libre de Bruxelles,Belgium,205,175,175.5,185.16666666666666,BE,Western Europe,Europe,0.0054005400540054005,185,100-200,loc_198
Pohang University of Science and Technology,Republic of Korea,71,137,350.5,186.16666666666666,KR,East Asia,Asia,0.005371530886302597,186,100-200,loc_199
National Autonomous University of Mexico,Mexico,122,,250.5,186.25,MX,Central America,Americas,0.005369127516778523,186,100-200,loc_200
"University of California, Santa Cruz",USA,301,162,98,187,US,North America,Americas,0.0053475935828877,187,100-200,loc_201
Scuola Normale Superiore di Pisa,Italy,192,184,,188,IT,Southern Europe,Europe,0.005319148936170213,188,100-200,loc_202
Kyushu University,Japan,128,,250.5,189.25,JP,East Asia,Asia,0.005284015852047556,189,100-200,loc_203
Tel Aviv University,Israel,205,,175.5,190.25,IL,Middle East,Asia,0.005256241787122208,190,100-200,loc_204
University of Massachusetts Lowell,USA,,191,,191,US,North America,Americas,0.005235602094240838,191,100-200,loc_205
Chalmers University of Technology,Sweden,133,,250.5,191.75,SE,Northern Europe,Europe,0.005215123859191656,192,100-200,loc_206
Norwegian University of Science and Technology,Norway,259,,125.5,192.25,NO,Northern Europe,Europe,0.005201560468140442,192,100-200,loc_207
University of St Andrews,UK,92,143,350.5,195.16666666666666,GB,Northern Europe,Europe,0.005123825789923143,195,100-200,loc_208
Sapienza University of Rome,Italy,215,,175.5,195.25,IT,Southern Europe,Europe,0.005121638924455826,195,100-200,loc_209
University of Newcastle,UK,161,175,250.5,195.5,GB,Northern Europe,Europe,0.005115089514066497,196,100-200,loc_210
Tufts University,USA,243,169,175.5,195.83333333333334,US,North America,Americas,0.005106382978723404,196,100-200,loc_211
University of Calgary,Canada,217,,175.5,196.25,CA,North America,Americas,0.005095541401273885,196,100-200,loc_212
King Abdulaziz University,Saudi Arabia,267,,125.5,196.25,SA,Middle East,Asia,0.005095541401273885,196,100-200,loc_213
École Normale Supérieure de Lyon,France,157,182,250.5,196.5,FR,Western Europe,Europe,0.005089058524173028,196,100-200,loc_214
University of Aberdeen,UK,158,185,250.5,197.83333333333334,GB,Northern Europe,Europe,0.005054759898904802,198,100-200,loc_215
Eindhoven University of Technology,Netherlands,104,141,350.5,198.5,NL,Western Europe,Europe,0.005037783375314861,198,100-200,loc_216
Monterrey Institute of Technology and Higher Education,Mexico,199,,,199,MX,Central America,Americas,0.005025125628140704,199,100-200,loc_217
University of Hamburg,Germany,223,,175.5,199.25,DE,Western Europe,Europe,0.005018820577164366,199,100-200,loc_218
Georgetown University,USA,227,123,250.5,200.16666666666666,US,North America,Americas,0.004995836802664446,200,200-300,loc_219
University of Waterloo,Canada,152,,250.5,201.25,CA,North America,Americas,0.004968944099378882,201,200-300,loc_220
Hanyang University,Republic of Korea,155,,250.5,202.75,KR,East Asia,Asia,0.004932182490752158,203,200-300,loc_221
Waseda University,Japan,203,,,203,JP,East Asia,Asia,0.0049261083743842365,203,200-300,loc_222
University of Barcelona,Spain,156,,250.5,203.25,ES,Southern Europe,Europe,0.004920049200492005,203,200-300,loc_223
University of Miami,USA,252,186,175.5,204.5,US,North America,Americas,0.004889975550122249,204,200-300,loc_224
University of Notre Dame,USA,216,150,250.5,205.5,US,North America,Americas,0.004866180048661801,206,200-300,loc_225
Grenoble Alpes University,France,236,,175.5,205.75,FR,Western Europe,Europe,0.004860267314702308,206,200-300,loc_226
University of Illinois at Chicago,USA,207,,,207,US,North America,Americas,0.004830917874396135,207,200-300,loc_227
University of Bergen,Norway,164,,250.5,207.25,NO,Northern Europe,Europe,0.0048250904704463205,207,200-300,loc_228
Macquarie University,Australia,240,,175.5,207.75,AU,Australia and New Zealand,Oceania,0.0048134777376654635,208,200-300,loc_229
University of Erlangen-Nuremberg,Germany,287,162,175.5,208.16666666666666,DE,Western Europe,Europe,0.004803843074459568,208,200-300,loc_230
University of Sussex,UK,228,147,250.5,208.5,GB,Northern Europe,Europe,0.004796163069544364,208,200-300,loc_231
University of Alabama at Birmingham,USA,,168,250.5,209.25,US,North America,Americas,0.0047789725209080045,209,200-300,loc_232
Politecnico di Milano,Italy,170,,250.5,210.25,IT,Southern Europe,Europe,0.0047562425683709865,210,200-300,loc_233
University of Lancaster,UK,135,150,350.5,211.83333333333334,GB,Northern Europe,Europe,0.004720692368214005,212,200-300,loc_234
University of Massachusetts Amherst,USA,249,,175.5,212.25,US,North America,Americas,0.004711425206124852,212,200-300,loc_235
University of Strasbourg,France,303,,125.5,214.25,FR,Western Europe,Europe,0.004667444574095682,214,200-300,loc_236
