key,type
1296,Teaching only
1297,Teaching only
1298,Teaching only
1299,Teaching only
1300,Teaching only
1301,Teaching only
1302,Teaching only
1303,Teaching only
1304,Teaching only
1305,Teaching only
1306,Teaching only
1307,Teaching only
1308,Teaching only
1309,Teaching only
1310,Teaching only
1311,Teaching only
1312,Teaching only
1313,Teaching only
1314,Teaching only
1315,Teaching only
1316,Teaching only
1317,Teaching only
1318,Teaching only
1319,Teaching only
1320,Teaching only
1321,Teaching only
1322,Teaching only
1323,Teaching only
1324,Teaching only
1325,Teaching only
1326,Teaching only
1327,Teaching only
1328,Teaching only
1329,Teaching only
1330,Teaching only
1331,Teaching only
1332,Teaching only
1333,Teaching only
1334,Teaching only
1335,Teaching only
1336,Teaching only
1337,Teaching only
1338,Teaching only
1339,Teaching only
1340,Teaching only
1341,Teaching only
1342,Teaching only
1343,Teaching only
1344,Teaching only
1345,Teaching only
1346,Teaching only
1347,Teaching only
1348,Teaching only
1349,Teaching only
1350,Teaching only
1351,Teaching only
1352,Teaching only
1353,Teaching only
1354,Teaching only
1355,Teaching only
1356,Teaching only
1357,Teaching only
1358,Teaching only
1359,Teaching only
1360,Teaching only
1361,Teaching only
1362,Teaching only
1363,Teaching only
1364,Teaching only
1365,Teaching only
1366,Teaching only
1367,Teaching only
1368,Teaching only
1369,Teaching only
1370,Teaching only
1371,Teaching only
1372,Teaching only
1373,Teaching only
1374,Teaching only
1375,Teaching only
1376,Teaching only
1377,Teaching only
1378,Teaching only
1379,Teaching only
1380,Teaching only
1381,Teaching only
1382,Teaching only
1383,Teaching only
1384,Teaching only
1385,Teaching only
1386,Teaching only
1387,Teaching only
1388,Teaching only
1389,Teaching only
1390,Teaching only
1391,Teaching only
1392,Teaching only
1393,Teaching only
1394,Teaching only
1395,Teaching only
1396,Teaching only
1397,Teaching only
1398,Teaching only
1399,Teaching only
1400,Teaching only
1401,Teaching only
1402,Teaching only
1403,Teaching only
1404,Teaching only
1405,Teaching only
1406,Teaching only
1407,Teaching only
1408,Teaching only
1409,Teaching only
1410,Teaching only
1411,Teaching only
1412,Teaching only
1413,Teaching only
1414,Teaching only
1415,Teaching only
1416,Teaching only
1417,Teaching only
1418,Teaching only
1419,Teaching only
1420,Teaching only
1421,Teaching only
1422,Teaching only
1423,Teaching only
1424,Teaching only
1425,Teaching only
1426,Teaching only
1427,Teaching only
1428,Teaching only
1429,Teaching only
1430,Teaching only
1431,Teaching only
1432,Teaching only
1433,Teaching only
1434,Teaching only
1435,Teaching only
1436,Teaching only
1437,Teaching only
1438,Teaching only
1439,Teaching only
1440,Teaching only
1441,Teaching only
