lat,lon,name,qs_rank,ti_rank,sh_rank,rank,invRank,EN,DE,FR,IT,ES,PT,RU,ZH,JA,AR
41.1465479,-8.6156998,University of Porto,301,-,350.5,330,0.0030698388334612432,Portugal,Portugal,Portugal,Portogallo,Portugal,Portugal,Португалия,葡萄牙,ポルトガル,البرتغال
51.4456659,7.2616093,Ruhr University Bochum,405.5,-,250.5,330,0.003048780487804878,Germany,Deutschland,Allemagne,Germania,Alemania,Alemanha,Германия,德国,ドイツ,ألمانيا
25.123002,121.513702,National Yang-Ming University,329,-,-,330,0.00303951367781155,"Taiwan, Province of China","Taiwan, Province of China","Taïwan, Province de Chine",Taiwan,Provincia china de Taiwán,"Taiwan, Província da China",Тайвань (провинция Китайской Народной Республики),中国台湾省,台湾、中国の省,مقاطعة تايوان الصينية
48.7887191,2.3272147,Ecole Normale Supérieure de Cachan,330,-,-,330,0.0030303030303030303,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
-22.9541412,-43.1753638,Federal University of Rio de Janeiro,311,-,350.5,330,0.0030234315948601664,Brazil,Brasilien,Brésil,Brasile,Brasil,Brasil,Бразилия,巴西,ブラジル,البرازيل
-6.89148,107.6106591,Institut Teknologi Bandung,331,-,-,330,0.0030211480362537764,Indonesia,Indonesien,Indonésie,Indonesia,Indonesia,Indonésia,Индонезия,印度尼西亚,インドネシア,أندونيسيا
-39.8061639,-73.2516591,Southern University of Chile,331,-,-,330,0.0030211480362537764,Argentina,Argentinien,Argentine,Argentina,Argentina,Argentina,Аргентина,阿根廷,アルゼンチン,الأرجنتين
-43.5235375,172.5839233,University of Canterbury,214,-,450.5,330,0.0030097817908201654,New Zealand,Neuseeland,Nouvelle-Zélande,Nuova Zelanda,Nueva Zelandia,Nova Zelândia,Новая Зеландия,新西兰,ニュージーランド,نيوزيلندا
58.3810843,26.7198659,University of Tartu,314,-,350.5,330,0.0030097817908201654,Estonia,Estland,Estonie,Estonia,Estonia,Estônia,Эстония,爱沙尼亚,エストニア,استونيا
53.8938988,27.5460609,Belarusian State University,334,-,-,330,0.0029940119760479044,Belarus,Weissrussland,Bélarus,Bielorussia,Belarús,Bielorrússia,Беларусь,白俄罗斯,ベラルーシ,روسيا البيضاء
13.7945775,100.3234171,Mahidol University,334,-,-,330,0.0029940119760479044,Thailand,Thailand,Thaïlande,Thailandia,Tailandia,Tailândia,Таиланд,泰国,タイ,تايلاند
50.5830803,5.559064,University of Liège,319,-,350.5,330,0.002987303958177745,Belgium,Belgien,Belgique,Belgio,Bélgica,Bélgica,Бельгия,比利时,ベルギー,بلجيكا
43.6316206,3.8634485,University of Montpellier,381,-,250.5,320,0.003167062549485352,France,Frankreich,France,Francia,Francia,França,Франция,法国,フランス,فرنسا
-36.7323894,174.7027411,Massey University,316,-,-,320,0.0031645569620253164,New Zealand,Neuseeland,Nouvelle-Zélande,Nuova Zelanda,Nueva Zelandia,Nova Zelândia,Новая Зеландия,新西兰,ニュージーランド,نيوزيلندا
31.2853,121.5074,Tongji University,316,-,-,320,0.0031645569620253164,China,China,Chine,Cina,China,China,Китай,中国,中国,الصين
48.1986546,16.3684626,TU Wien,182,-,450.5,320,0.0031620553359683794,Austria,Österreich,Autriche,Austria,Austria,Áustria,Австрия,奥地利,オーストリア,النمسا
